text,label,prompt,prediction
"it flows so long as falls the rain,",2,"Text:it flows so long as falls the rain,
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
"and that is why, the lonesome day,",0,"Text:and that is why, the lonesome day,
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
"when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,",3,"Text:when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
of inward strife for truth and liberty.,3,"Text:of inward strife for truth and liberty.
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
the red sword sealed their vows!,3,"Text:the red sword sealed their vows!
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
and very venus of a pipe.,2,"Text:and very venus of a pipe.
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
"who the man, who, called a brother.",2,"Text:who the man, who, called a brother.
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
"and so on. then a worthless gaud or two,",0,"Text:and so on. then a worthless gaud or two,
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
to hide the orb of truth--and every throne,2,"Text:to hide the orb of truth--and every throne
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
the call's more urgent when he journeys slow.,2,"Text:the call's more urgent when he journeys slow.
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
with the _quart d'heure_ of rabelais!,2,"Text:with the _quart d'heure_ of rabelais!
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
"and match, and bend, and thorough-blend, in her colossal form and face.",2,"Text:and match, and bend, and thorough-blend, in her colossal form and face.
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
have i played in different countries.,2,"Text:have i played in different countries.
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",1
"tells us that the day is ended.""",2,"Text:tells us that the day is ended.""
Solution Structure: 1. Think about and explain the emotional tone of the text 2. Think about and explain the context of the text 3. Based on tone and context, classify the text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)",0
