text,label
with pale blue berries. in these peaceful shades--,1
"it flows so long as falls the rain,",2
"and that is why, the lonesome day,",0
"when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,",3
of inward strife for truth and liberty.,3
the red sword sealed their vows!,3
and very venus of a pipe.,2
"who the man, who, called a brother.",2
"and so on. then a worthless gaud or two,",0
to hide the orb of truth--and every throne,2
the call's more urgent when he journeys slow.,2
with the _quart d'heure_ of rabelais!,2
"and match, and bend, and thorough-blend, in her colossal form and face.",2
have i played in different countries.,2
"tells us that the day is ended.""",2
and not alone by gold;,2
that has a charmingly bourbon air.,1
"sounded o'er earth and sea its blast of war,",0
chief poet on the tiber-side,2
"as under a sunbeam a cloud ascends,",2
"brightly expressive as the twins of leda,",1
"of night, and all things now retir'd to rest",2
in latmian fountains long ago.,2
in monumental pomp! no grecian drop,1
"and when they reached the house,",2
"then this old orchard, sloping to the west;",2
so prythee get thee gone.,2
the other dark-eyed dears,2
me honied paths forsake;,2
to that mysterious strand.,2
wid a song up on de way.,2
"her visions and those we have seen,--",2
he sat beside the governor and said grace;,2
fifty times the brahmins' offer deluged all the floor.,2
and what are all the prizes won,2
made snow of all the blossoms; at my feet,2
"he never told us what he was,",2
"want and woe, which torture us,",0
"a ruby, and a pearl, or so,",2
"an echo returned on the cold gray morn,",0
"he says he’s hungry,—he would rather have",2
"while i, ... i built up follies like a wall",0
"and then he shut his little eyes,",2
"ah, what a pang of aching sharp surprise",0
"and gladys said,",2
"peep timidly from out its nest,",2
the oriole's fledglings fifty times,2
the hostile cohorts melt away;,3
"and the old swallow-haunted barns,--",0
"from god's design, with threads of rain!",2
"how over, though, for even me who knew",2
"warped into adamantine fretwork, hung",2
wilt thou forget the love that joined us here?,2
"the which she bearing home it burned her nest,",0
have roughened in the gales!,2
"pilgrim and soldier, saint and sage,",2
down in the west upon the ocean floor,2
"""what did you hear, for instance?"" willis said.",2
should favour equal to the sons of heaven:,2
"some, not so large, in rings,--",2
"the crown of sorrow on their heads, their loss",0
"the eternal law,",2
and lips where heavenly smiles would hang and blend,1
"we're a band!"" said the weary big dragoon.",2
fu' to ba' de battle's brunt.,2
"and brief related whom they brought, wher found,",2
i lay and watched the lonely gloom;,0
honour to the bugle-horn!,1
"a sceptre,--monstrous, winged, intolerable.",0
"max laid his hand upon the old man's arm,",2
"when on the boughs the purple buds expand,",2
if the pure and holy angels,1
endymion would have passed across the mead,2
upon the thought of perfect noon. and when,1
thy hands all cunning arts that women prize.,1
"reasoning to admiration, and with mee",1
while the rude winds blow off each shadowy crown.,0
"the former, as the slacken’d reins he drew",2
"she falls back from the freedom she had hoped.""",2
"then--i would gather it, to thee unaware,",2
"amidst the gold and the purple, and the pillows of his bed:",2
"all hastening onward, yet none seemed to know",2
the wheat-blade whispers of the sheaf.,2
"but o, nevermore can we prison him tight.",0
"under these leafy vaults and walls,",2
"(distinctly here the spirit sneezed,)",2
it shines superior on a throne of gold:,1
around it cling.,2
"may meditate a whole youth's loss,",0
"i'm safe enlisted fer the war,",2
"whom phoebus taught unerring prophecy,",2
"when thee, the eyes of that harsh long ago",0
"flutter,",2
a way that safely will my passage guide.”,2
and breaths were gathering sure,2
"you have done this, says one judge; done that, says another;",2
in their archetypes endure.,2
"returne, the starres of morn shall see him rise",2
"brown-gabled, long, and full of seams",2
"the foes inclosing, and his friend pursued,",0
the tribute of this verse.,2
"take the warm welcome of new friends with thee,",1
"augmented, sweet, a hundred fold",1
in some lady's gyahden.,2
and bow to dread inquisitor and worship lords of dust;,0
its temples and its palaces did seem,2
"but i, or any demmercrat, feels comf'table to stan' on,",2
"miles off, three dangerous miles, is home;",0
every day a rich reward will give;,1
"else, suffer’d, it will set the heart on fire,",0
"who, never looking forward, are indeed",2
gay little heart!,1
"while from his hand i squeeze the golden prize,",2
"among the sources of thy glorious streams,",1
as when i read in god's own holy book.,2
"and while before me, spotted with white sails,",2
yet that whip's name too noble,2
"i'm comin', ed.",2
"what gods, what madness, hither steer’d your course?",0
"and raised their eyes above,",2
it spoils me for the smiling of the rest’—,1
"yearns to its source. the spirit thirsts for god,",2
that wisdom's lips seemed borrowing friendship's heart.,1
the oil upon the puddles dries,2
snows hide his shoulders; from beneath his chin,2
when the glance hast lost its beam;,0
"best gems of nature's cabinet,",1
"as round some giant hive, all day and night,",2
"whether they met on festal eve, in field,",2
"who cometh over the hills,",2
"in the shadow of the shores; as dead leaves wake,",0
touch it: the marble eyelids are not wet--,2
"oh, say, is he, the eternal, there?",2
the blessed memory of thy worth,1
"from his own tripod, and his holy tree;",2
i sate down beneath the beech,2
a million torches lighted by thy hand,1
thy sleep makes ridiculous.,0
whose potent unity and concentric force,1
of peace? it is thy father's name. thy life,2
"now, if thou art a poet, tell me not",2
"who stood in expectation by,",2
"mine eyes were of their madness half beguiled,",0
"jes heavy 'nough to turn a scale thet's doubtfle the wrong way,",2
you sha' n't roll yo' eyes at me.,0
case dey nevah tech a drouf.,2
it will be spring again.,2
"mine are calm and tranquil days,",1
sang as little children sing;,2
the things it wrought on; i believe,2
"from flight, seditious angel, to receave",0
"what once has been and ne'er shall be again,",2
"sky, marsh, my soul, and yonder sail.",2
"thy merited reward, the first assay",1
"except in france; and when it’s found in france,",2
for the greek must ask elsewhere.,2
whose anvil's even din,2
"that truthful teacup, our dictator, knows;",2
when hills are free from snow,2
"uttering bare truth, even so as foes commend.",1
"endu'd with human voice and human sense,",2
whatever anybody had,2
"is passed, and our aereal speed suspended.",2
"afar the melancholy thunder moaned,",0
"their hate, and selfishness, and pride!",0
"i would don my hose of homespun gray,",2
an hundred silken cords are set,2
i have lost the urban ways.,2
"and sorrowful to-day, thy children set",0
"or by some cabin door, a bush",2
was freedom's home or glory's grave!,3
save for a cry that echoes shrill,0
"with its close-curling gold, and love revived.",1
a golden helm his front and head surrounds,2
"but, through the war-cloud, pray to thee",3
"swing, like a ship at anchor, roun' my base,",2
for peace or rest too well he saw,2
from her stately place on high.,1
that passed with you and me.--,2
sweet hope!,1
"for high, and yet more high, the murmurs swell",2
"let those whom nature hath not made for store,",2
"said, `pass not, so cold, these manifold",2
the adulterate death of lucrece and her groom.,0
whilst this....,2
"""the snow that husheth all,",2
"then pausing, thus his prophecy renews:",2
to accomplish suicide.,0
early or late? or shall that commonwealth,2
"he plays a little, sings a song,",2
"each by his fiery torture howl and rave,",0
"and twitter, and again are still.",2
my daily thoughts perpetual converse held,2
"yon trunk had thrice a hundred rings,",2
is lovely round; a beautiful river there,1
"take heed (dear heart) of this large privilege,",1
at once comes tumbling down the rocky wall;,0
"sat mournfully guarding their corpses there,",0
low in supplication bending.,2
twas when you stole my maidenhead;,0
"""sorry?  of course you are, though you compress,",2
i would not live alway,2
"the king ordains their entrance, and ascends",1
very sleepy with the silence.,2
which clanged along the mountain's marble brow--,2
"it steam in winter like an ox's breath,",2
"in prosperous days. like a dim, waning lamp",3
jarr'd his own golden region; and before,2
"flood his black hearthstone till its flames expire,",0
when high i heap it with the weed,2
the climax of those hopes and duties dear,1
wait his returning strength.,2
"strove to raise itself in blessing,",1
nile shall pursue his changeless way:,2
i must be home by noon-time with the cart.',2
both the unseen and the seen;,2
the poet comes the last!,2
with many sighs;,2
"where, all the long and lone daylight,",2
full of the calm that cometh after sleep:,1
"men said, into a smile which guile portended,",0
"still sigurd rides with the brethren, as oft in the other days,",2
was she not somewhat that he could not rule,2
"gnossian his shafts, and lycian was his bow:",2
"you didn't stop for fuss,--",2
"deaf, and dumb, and blind, and cold,",0
i'm here--so far--and starting on again.,2
"a different man was brother timothy,",2
see! neptune’s altars minister their brands:,2
"to match your wit against the maker's will,",2
"absently fingering and touching it,",2
three hours the first november dawn,2
ran ever clearer speech than that did run,1
"""i say it's someone passing.""",2
"the visual nerve is withered to the root,",0
"""what hope wouldst thou hope, o sigurd, ere we kiss, we twain, and depart?""",3
"there is nothing to hope for, i am tired,",0
"i left the place with all my might, --",2
"let dat cradle swing,",2
he has no calling and he owns no trade.,2
"as they were loosened by that hermit old,",2
"then rose they up around him,",2
but because she stept to her star right on through death,3
an' see a hundred hills like islan's,2
and i am still the same;,2
misnames as the dog rosey now.,2
have seen the danger which i dared not look,0
"and hoping chink, she talked of morts of luck:",2
"the meadows mine, the mountains mine, --",2
since ferdinand and you begun,2
i'm always thinkin' long.,2
"ho! philip, send, for charity, thy mexican pistoles,",2
on to their shining goals:--,1
glory might burst on us!,1
"what's de use o' gittin' mopy,",2
"yet by experience taught we know how good,",2
all foredoomed to melt away;,0
as if she were a woman. we who have clipt,2
"it would be different if more people came,",2
"plucked from the death, wilt thou repay me thus?",3
"a spirit of unresting flame,",1
"the present is enough, for common souls,",2
"hear its low inward singing,",2
"be sure to read it rightly. so, i mused",2
and keep my senses straightened,2
three trojans tug at ev’ry lab’ring oar;,2
"mind us of like repose, since god hath set",2
lift their blue woods in broken chain,2
in nothing is wanting;,2
but thrown in a heap with a crush and a clatter;,0
"and kissed him with a sister's kiss,",2
"""thou of the god-lent crown,",2
like pageantry of mist on an autumnal stream.,2
"and she said: ""what dost thou, brynhild? what matter dost thou seek?""",2
or the bolder art essaying,2
"thither, if but to prie, shall be perhaps",2
o'er sweet profounds where only love can see.,1
"he smell de bacon cookin', an' he hyeah de fiah hum;",2
came in slow pomp;--the moving pomp might seem,2
"with peace and soft rapture shall teach life to glow,",1
but thy tranquil waters teach,1
"smoothing the clustered hair, and parting it",2
"in all that clang and hewing out of men,",2
"her scutcheon shows white with a blazon of red,--",2
"looks, and is dumb with awe;",3
"then oer the rushes flies again,",2
"a thousand rubs had flattened down each little cherub's nose,",2
"a fragrance from the cedars, thickly set",2
of bright and dark obscurity;,3
"science and song, and all the arts that please;",1
"you turn, o jeanne, on our mystery",2
a graciousness in giving that doth make,1
most beauteous isadore!,1
whose instinct was to listen and obey.,2
but homesick tears would fill the eyes,0
"already, land! thou hast declared:  'tis done.",1
with war unhop’d the latians to surprise?,2
"the eyes beside had wrung them dry,",2
