text,label
the tribute of this verse.,2
the end of the play.,2
"the oriole in the elm; the noisy jay,",2
"to match your wit against the maker's will,",2
"these are the tales, or new or old,",2
"and country eyes, and quiet faces --",2
"tormented by the quickened blood of roots,",0
"still, upon a flower,",2
"""sir, ye shall find him, if ye follow up",2
"a day's experunce 'd prove to ye, ez easy 'z pull a trigger.",2
"men said, into a smile which guile portended,",0
"leave the garden walls, where blow",2
"like your nest,",2
inexorable death; and claims his right.,0
henceforth to labor's chivalry,2
and not alone by gold;,2
misnames as the dog rosey now.,2
"now rise and look upon me.""  and she rose,",2
and very venus of a pipe.,2
and give a meaning to their lives; and still,2
"there's a certain slant of light,",2
"and say, ‘fie, pale-face! are you english girls",2
and bow to dread inquisitor and worship lords of dust;,0
he who plays with old iagoo,2
"dey kin talk from hyeah to yandah,",2
"flood his black hearthstone till its flames expire,",0
of course throw monstrous shadows: those who think,0
"warped into adamantine fretwork, hung",2
"whom phoebus taught unerring prophecy,",2
and the lure of what is called heaven is little or nothing to me.,3
pillars by madness multiplied;,0
in latmian fountains long ago.,2
"when, dreadful to behold, from sea we spied",0
"the leprous corpse, touched by this spirit tender,",3
"where, all the long and lone daylight,",2
her eye proclaims her of the briton line:,2
to hold it fast.,2
"but de lawd is all aroun' you,",2
"ay, knelt and worshipped on, as love in beauty's bower,",1
"it steam in winter like an ox's breath,",2
above the myriad roofs and spires rise;,2
"each by his fiery torture howl and rave,",0
"here those that in the rapid course delight,",1
"grander, nobler, than that pilot",1
"halcyons of memory,",1
"""the snow that husheth all,",2
is lovely round; a beautiful river there,1
"before the saintly soul, whose human will",1
"at dusk of eve,",2
"his song, though very sweet, was low and faint,",3
"oh, say, is he, the eternal, there?",2
"""i say it's someone passing.""",2
a golden helm his front and head surrounds,2
that passed with you and me.--,2
"but she spake: ""bid hither gunnar, lest the sun sink o'er the bent,",2
the days pass over me,2
"""sir, i have dreamed of you. i pray you, sir,",2
vain cries--throughout the streets thousands pursued,0
yet was this period my time of joy:,1
"in prosperous days. like a dim, waning lamp",3
"forelaid and taken, while he strove in vain",0
"then thro’ his breast his fatal sword he sent,",0
in their archetypes endure.,2
"and thus each tint or shade which falls,",2
her not-nice load.,0
"till they have told their fill, could scarce express",2
thy hands all cunning arts that women prize.,1
"i'm safe enlisted fer the war,",2
"a ruby, and a pearl, or so,",2
sweet hope!,1
"the silence, and the rain.",2
with pale blue berries. in these peaceful shades--,1
the oriole's fledglings fifty times,2
save for a cry that echoes shrill,0
and i've been like that silly girl.,0
and heavy as the dead.,0
"ah! still, methinks, i hear them calling;",2
tis gone past recalling!,2
"miles off, three dangerous miles, is home;",0
all over the vale below.,2
the blessed memory of thy worth,1
"you'll not want business, for we need a lot",2
"gnossian his shafts, and lycian was his bow:",2
"you shall not find the sons of atreus here,",2
"all along down ""injin crik?""",2
for wanderings sad and lone.,0
"augmented, sweet, a hundred fold",1
"counts his nectars -- enters,",2
every day a rich reward will give;,1
nile shall pursue his changeless way:,2
"envy and calumny and hate and pain,",0
"busy, with sacerdotal tailorings",2
"till, fur 'z i know, there aint an inch thet i could lay my han' on,",2
have seen the danger which i dared not look,0
"and what then doth he gather? if we know,",2
let the scared dreamer wake to see,2
when the glance hast lost its beam;,0
i sate down beneath the beech,2
"from the overhanging branches,",2
"love works at the centre,",2
how seen? how known? as through your glass,2
"and changing like a poet's rhymes,",2
"to rise upon some other shore,",2
thy mission to a world of woe.,0
troubling with life the waters of the world.,0
"you didn't stop for fuss,--",2
so prythee get thee gone.,2
who god possesseth,2
"three lives, three strides, three foot-prints in the sand;",2
with level wings swinging,2
"seed-field of simpler manners, braver truth,",1
and to the tender heart and brave,1
"""as the gods would i see,"" said sigurd, ""though death light up the land.""",3
"and then, to go to sleep;",2
"when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,",3
"from his own tripod, and his holy tree;",2
so that my stern resolve was almost gone.,2
me up like that.  'essence de la valliere'--,2
"ez though i wanted to enlist 'em,",2
"then pausing, thus his prophecy renews:",2
with sharp turns weaving,2
"already, land! thou hast declared:  'tis done.",1
many changes have been run,2
"as if we guessed what hers have been,",2
"our saxon tongue has known,--",2
"let us do our work as well,",2
for vessels moulded by a mortal hand?,2
"in town, an' not the leanest runt",0
"thou wovest dreams of joy and fear,",3
if men are always at a loss,0
"deaf, and dumb, and blind, and cold,",0
"first feels the gathering head of steam,",2
"tinkle, tinkle, sweetly it sung to us,",1
and call that brilliant flower the painted cup.,1
playmates' glad symphony.,1
"on her changed world of ruin, waste and wrack,",0
they had not set there. who had set it there?,2
"would my heart and life flow onward, deathward, through this dream of",3
"then he said ""amarant""; and the damsel drew",2
who felt your own thought worthy of record,1
"in every health we drink, my boys,",2
"through the salt sea foam,",2
but descend to the ocean again.,2
"he scarce had ended, when those two approachd",2
"we’ll say instead, the inconsequent creature, man,—",2
"we're a band!"" said the weary big dragoon.",2
to intercept the sunshine and your face.,2
faint voices lifted shrill with pain,0
and yet perhaps you had been startled less,2
"with dews of tropic morning wet,",2
"i left the place with all my might, --",2
"from the slaughtering of my offspring, and the spoiling of my land;",0
with such vehement force and might,0
"while from his hand i squeeze the golden prize,",2
"on that shaded day,",2
no word for a while spake regin; but he hung his head adown,0
"best gems of nature's cabinet,",1
"plucked from the death, wilt thou repay me thus?",3
my breast was calm as summer's sea,1
"upon her sister dear,",2
thy sleep makes ridiculous.,0
"who the man, who, called a brother.",2
she still must keep the locket to allay,2
"where holds the soul communion with its god,",2
"in the worst of his poems are mines of rich matter,",3
"some thought of me, a last fond prayer",1
"""he whose lot hath been",2
"i turned, and saw behind me surge",2
to gather weeds in the regardless stream.,2
"thy merited reward, the first assay",1
"he said; and while he spoke, with flying speed",2
"but now i see, most cruell hee,",0
"and ye who attend her imperial car,",2
"to sunset they would sip of the tea, drink of the beer, and eat of the",2
down in the west upon the ocean floor,2
"‘these monsters, set out in the open sun,",0
"his hand the captive's fetters broke,",0
"i watch you in your crystal sphere,",2
"how weak this tinkling line,",0
the deer invites no longer,2
skirting the stream.,2
“i’m going to put you on the farm next to it.”,2
"we hear our mother call from deeps of time,",2
and glance securely round.,2
"howled through the dark, like sounds from hell.",0
"i see little and large sea-dots, some inhabited, some uninhabited;",2
"afar the melancholy thunder moaned,",0
like morning glory,1
"some, not so large, in rings,--",2
"the weird pathetic scarlet of day dawning,",0
and my white cottage--plain.,2
"but she guesses he is near,",2
"the willows, and the hazel copses green,",2
"and wit, like ocean, rose and fell?--",3
"by a great master of the past,",1
"and then, as is my wont, i told",2
obliterate the etchings,0
that little barley-cake you keep from him,2
full of the calm that cometh after sleep:,1
an honest tongue may drop a harmless hint.,1
"in all that clang and hewing out of men,",2
"and leave the words unspoken i yet have will to speak.""",2
how you sprang! how you threw off the costumes of peace with indifferent hand;,3
of inward strife for truth and liberty.,3
make a fragrance of her fame.,1
would we were bidden with the rest!,2
"trailing, wrecked, it came to land,",0
then to tell.,2
how they will tell the shipwreck,2
the very gods arising mid their carven images:,2
"on the clear mirror of a loving heart,",1
to me that time did not appeire:,2
--the drones of the community; they feed,2
o'er sweet profounds where only love can see.,1
"looks, and is dumb with awe;",3
to teach in schools of little country towns,2
"oh, those days, so sweet, so happy,",1
"smoothing the clustered hair, and parting it",2
it spoils me for the smiling of the rest’—,1
bedaubed with iridescent dirt.,2
have i played in different countries.,2
in just the dress his century wore;,2
and yet its whole career,2
"luck obeys the downright striker; from the hollow core,",2
"endu'd with human voice and human sense,",2
"nightly down the river going,",2
"was in cremona's workshops made,",2
"they are fastened well, nom d'un chien!",2
"when your rights was our wrongs, john,",3
"take heed (dear heart) of this large privilege,",1
"and twitter, and again are still.",2
the wondering rabbi sought the temple's gate.,2
"their hate, and selfishness, and pride!",0
"but i, or any demmercrat, feels comf'table to stan' on,",2
that has a charmingly bourbon air.,1
"of blooming myrtle and faint lemon-flowers,",2
"and, between the river flowing and the fair green trees a-growing,",1
"and tip with feathers, orange and green,",2
the wood giant,2
"at length they turn to nothing else but down,",2
"the pain when it did live,",0
"that you or yours, having an appetite,",2
"blindness like that would scare the mole and bat,",0
godminster chimes,2
a way that safely will my passage guide.”,2
"""play uppe, play uppe, o boston bells!",1
"but o, nevermore can we prison him tight.",0
what flecks the outer gray beyond,2
"(so thick they crowd), 'tis hardly seen.",2
"pride of thy sex, miss harriet martineau!",1
their first-born brother as a god.,1
"by his sacrifice, foreknown",2
"that satraps would have shivered at his frown,",0
"where the moloch of slavery sitteth on high,",0
but all of them are bad enough,0
"and not be nearer therefore to the moon,",2
all these were round my steady paces.,2
"max laid his hand upon the old man's arm,",2
robe us once more in heaven-aspiring creeds,1
i think i'll just call up my wife and tell her,2
