text,label
@user @user BJP may be liking Rahul Gandhi now. The more Rahul speaks the more BJP will gain.,2
The guy who let me borrow his Ohio State bag Friday night just said I can keep it. Saweeeeet. Good day for Liz!,2
@user @user will NEVER but the sun Jo\u002c never!  EVEN - for a guaranteed date with Dave Grohl!!! Even then!!!,0
Friday post-game IHOP is having their 2nd annual pancake bonanza. Fans of the winning team will get a short stack for $2 or 20% off meal...,1
@user For when your working day eventually ends .... David Bowie 'Speed of Life' (off 'Low'). #Happy-Friday,2
@user Where will I find out tomorrow at Bluesfest? I'm just going to see Grimes and then a bit of Airborne Toxic Event.,1
Anyone want to go and see Foo Fighters on tuesday the 8th of September?,1
@user He\u2019s a true Niners fan\u002c he brought it up in a interview during his 2nd season. :D,2
"""Apr?s le bacc,i'm going to work in USAID and UNICEF,that's for sure!""",2
Christianity is a life style\u002c not just a quick Sunday service or blessing of food. Live life as a light. Be different then the world #WWJD,1
But it's not just about overall nmbrs. Murray &amp;Mathews will put #Eagles in a lot of 3rd and manageable situations.  And finish at goal line,1
Omg Briana is amazing she is my new remodel!!! #SPNFamiIly #pascon #Saturday,2
"""#redsox Over the Mon Daily Red Sox Links: Jose Iglesias, Ryan Lavarnway, Will Middlebrooks: Right now, the Red S...",1
@user I though you may want that you and the rest of the @user crew sweet talked me into buying Game Of Thrones.  I'm hooked.,2
HAPPY 22nd BIRTHDAY  Kendall Francis Schmidt! I love you forever! Rushers will always be here for u. God bless. Mwah mwah :* @user,2
Top: Regime blasts Aleppo; aid urgently needed: The UN Security Council will vote Monday on…,1
Younique officially launches in the UK on 1 November.  Be one of the first to get your 3d fibre lashes.,1
hmmm..thinking that now is a good time to win the lottery. #311Day2012 in Vegas AND #311Cruise in May...decisions to be made!,2
"""On this day kast year: the 2nd team beat Lechlade 2s by 8 wickets, Ayman Mohammed starring with 4 wickets and 49 not out.""",1
Rio Ferdinand thinks Manchester United may have signed the next David Beckham:,2
"""I may not be a Freddie Mercury fan, but gotta say that the idiot Kanye West just got schooled",0
"@user Faith based discrimination, wherever it may be practised,is beyond doubt, condemnable! This is not limited to Muslims alone.""",0
"""Clark is drunk as a brick. I closed at 8 o'clock, then built a fire in the stove and sat up until 11:30 reading my brother Ira's old letters""",1
"Anthony Rizzo Chicago Cubs Autographed 8"" x 10"" Overhead.. #rt2gain #teamfollowback #followback #f4f",1
I think it would be pretty wacky if we all came in naked tomorrow,0
Start your weekend off right at EAST tonight with PURE FRIDAY.   Enjoy delicious Graze dining from 6pm and...,2
@user just got one me lady!! Waiting on the next!  Merlin incense was a'smoking tonite!!!!!!,2
Who\u2019s going to Israel this Saturday?!,1
@user @user watch out for George Osborne and Theresa May in the next episodes.,1
Good straight sets win for Murray last night hope he kicks on from here and good chance of winning the #USOpen for a 2nd time,2
@user Glad Twilight night was a success. I'll make it to the next one!  Sorry to be the lame-o!,2
Danny Care and James Haskell recalled to the England side for the third Test against South Africa on Saturday\u002c,1
@user Thank you for great share. You may like to re-share IBM Marketing &amp; Comms Jobs w your Network .,2
@user @user twenty bags of rusted dicks.,0
David Beckham may have just passed Taylor Swift on the good deeds list... check this out!,2
Wear your most verdacious attire with pride tomorrow - celebrate Go Green Day #gogreenday @user,2
