text,label
I'm so glad my friends told me to go here!! Wow the customer service Mike is AWESOME!!! I had the A/C installed wrong from another shop and I took it to them they fixed it right up!! The A/C works great!! \nThey next day to took them my other truck again Mike took care of everything he called to keep me informed. I know that my family now has a trusted shop to go to that is very professional. I like that it is family owned too! Thank you McFall's you help take a lot of stress away!!!!,1
"I was really looking forward to trying this place and when I finally did, I was disappointed. First things first, the food was average and expensive for what they offer. Granted this is a tourist spot, so the pricing is to be expected. I wouldn't recommend taking your kids here. This is basically the \""""German experience\"""" of drinking and having fun with a little food thrown in. The beer hall smells terrible, like stale beer and sweat. Gross.\n\nNow, on to the more important item. The service was so-so and my waiter tried to cheat me when we paid the bill. If you read nothing else in this review, read this - NEVER leave a cash tip if paying by card at this place! I charged our dinner, but left a cash tip and the waiter chased us down in the parking lot saying that he accidentally charged our card twice. This was a complete lie because while he went back inside with my card, I checked my bank app and it showed the exact amount I signed for on the receipt. He came back out a few minutes later and we went on our way. The next day I checked the bank and noticed the charge from the HB was for a higher amount and NOT the amount I signed for on the receipt. I called the HB and spoke to a very nice young lady in the accounting department who handled this whole mess after the fact. I sent her a copy of my signature and what do you know, it did not match the receipt. Hence, this waiter assumed I was a tourist visiting Las Vegas and not a resident, and he figured he could just steal from me and I wouldn't do anything about it. He took my generous cash tip and then tried to steal more money from me by charging my card for an second tip. It took nearly TWO WEEKS of my calling the HB to get the amount that I was owed refunded to me. This waiter committed fraud and, at the very least, should have been FIRED. That didn't happen. They told me that they've never had problems with him. Yeah, well, just because actual tourists don't complain when they sober up doesn't mean it isn't happening. He tried to steal from me and he'll try to steal from you too.\n\nMy overall suggestion is to avoid this place, but if you feel you just have to have the experience, pay with cash only.",0
"I didnt know \""""sh*tty wok\"""" from south park existed but this is it. Come here and enjoy theyre incredibly low quality food with their incredibly high quality decor. \n\nWe got the calamari and pad thai. Calamari tasted like it was defrosted, left out, then slightly heated up. Rubbery and greasy texture. I thought it was funny how badly i got ripped off. I kept telling my girlfriend in a sarcastic chinese manager voice \""""haha you stupid idiot pay $40 dollar for sh*@&$ food\"""". Good thing im rich and don't care about costly mistakes like this. This place should be ashamed!",0
I was looking for a pizza delivery place w/ more of a gourmet spin. I ordered a 1/2 sausage/bacon & 1/2 tomato/basil. The cheese had such a great taste that I liked the simple basil/tomato more. They have some good specials and the garlic knots/zeppolis are cheap and come w/ tons of bite size pieces great for sharing!,1
Solid breakfast food.,1
"I can understand how this location can get some extra points for being quaint  but it will certainly not get points for being clean.  The soda I had was great but I could not get over how dirty and run down this place was.  The staff where inattentive and to be honest completely useless, the tile on the floor was pealing off, the bar looked very warn and the booth we sat in was sticky. I understand the concept but I cannot forgive dirt when I visited a location.   I won't be back again.",0
"So I've been here twice now, the other time being around three or four months ago. Each time I've gone in here, I get the turkey wrap, which is pretty good. I don't find that they skimp too, too much. My only complaint, and why they're getting two stars from me is for the atmosphere. As other yelpers have said, there is a ton of tables in there! Some clean, some dirty. Booths are rickety and could seriously use some attention other than just being wiped down. The worst, worst thing of all is that (I don't know if it's just me) but each one of the two times I've gone in there, it smells so, so badly of bad odor. Just armpit stank all up in your nostrils. Trust me, I know the difference between onion and food smells and bodily fumes. This location has some seriously unpleasant aromas going on, and I'd definitely want to know what's up with that and hope they fix it if I decide on going there sometime in the future.",0
We went here for a New Years eve party. We assumed it was going to be more relaxed and mature since it was located north and away from its Old Town counterpart The place was entirely full of guys. Our group consisted of couples and it was irritating as several drunk guys kept trying to approach our significant others. I can't say I blame those guys and I felt bad for them as well since they paid a lot of money to attend this party and meet women and there were none. It eventually turned into another Scotsdale club scene. It was not classy. The dance floor was claustrophobic.,0
"NOT CLOSED THANK GOODNESS THAT IS A YELP ERROR! Still in biz at a faaabulous new location bigger and better than before - still the BEST Zumba classes in town - if you haven't had a Zumba class from Serina or Ryan, you haven;t had a Zumba class! And check out the Real Ryder classes if you like to spin - a whole new slant (pun intended - the bikes actually move from side to side giving you a whole body and core workout all at once.) And now they have room for retail so you can get your wardrobe workout in too! Love this place and cannot say enough great things about it!",1
"My wife and I were very excited about trying this place as we had heard and read some pretty good reviews. I am from the south and I knew exactly what red hots are. My wife, from Michigan, was thinking they were just regular dogs.\nI had a red hot with sourkrought, chili, onions, and cheese. My wife had all but the krought.\nNeither of us were overly impressed. While they were good, they just didn't jump out at you. The chili was so-so (could use some spiciness), and the red hots were pretty lame. \nThis is a great idea for a restaurant, but it really needs to be kicked up a bit. There was simply nothing that would draw me back. Sorry.",0
"I really like this place. Was staying in the Plaza Hotel and discovered Island Sushi and Hawaiian Grill. Since I lived for a year on Oahu the Hawaiian part caught my interest, but would it be good? I've been to places that claimed to be Hawaiian before and have been disappointed. Not the case with this place. Hawaiians work here. Always a good sign if you're going to eat authentic food from any region to have folks from that region working there. On my first visit I tried a Poke' bowl with avocado. It was very good. I think the Poke' I had in Hawaii was better, but this wasn't bad and certainly the best I've had outside the islands. On my second visit I had the Kalua Pig and cabbage. This is a true test as most say they make Kalua Pig and fail. The Pig here was good and tasted the most like the Hawaiian version I've had since I left Hawaii. Went back for a third visit and had the Poke' bowl again, good again. Same for the fourth visit. Another test is the POG juice, Pass-O-Guava that is, and in Hawaii they have two brands, Hawaiian Sun and Aloha Maid. The first is the good stuff and the second not so much, but cheaper, so when I asked which brand and they said Hawaiian Sun I knew they cared about quality and authenticity at this establishment. Would I go back? Heck, I went back three more times after the first visit and it wasn't just because I was staying at the Plaza. I had my car with me. I could have gone anywhere. Yet I went here. What does that tell you?\n\nPS: They have all you can eat sushi for $29.99 at lunch and $34.99 at dinner. Plus they have the Moco Loco challenge if you dare to try. Better be hungry though as only two have made the goal on that one.",1
I am very sad I didn't check yelp. I hired this company to get rid of bees. I asked ahead of time if they guaranteed their work and they said yes. The price I was told would range between 145-195. They removed the bees and told me it would be another 400 to take out the honey comb which I was not told up front . They charged 195 and I still have a yard full of bees. I do not recommend them. They are not honest up front and apparently don't care if the job gets done. My next stop is better business bureau.,0
"OK, let me start by saying that my preferred Theater is Harkins... I am a very 'thrifty' person and rarely we go out without using a coupon or some kind of promotional prices.\nI buy Harkins tickets in bulk and I can take a family of 4 to the movies with popcorn and drinks for $30-34.\n\nThat said, we occasionally go to AMC, and each and every time I cannot believe they can get away with those prices, particularly the concessions, not offering regular student discounts, etc...\n\nHowever, I understand that you get what you pay for, and for some this is the place and environment they want regardless of the price.\n\nBack to the actual review : )\n\n* Hubby drinks industrial amounts of diet coke, so the small glass cup that we got when we got ther was the first... \""""what?\"""" It looks and feels like a bar.. (is it a bar?) so it seems appropriate to tip your server, so for more than we were expecting to pay we got a glass full of ice that hubby finished in a couple of sips : P\n\n* Once we were seated, it seems it took a long time for a server to come and take our order... perhaps like 30 minutes or so?\n\n* I didn't think the menu options were that attractive, someone in a review compared the place to Chili's and I kind of agree with that... I am not a big fan of Chili's though...\n\n* We decided to share a chicken/chipotle quesadilla... which was good and the portion was generous. If you ask me, the sauce was a little too sweet, but oh well... It was OK.\n\n* It seems to me the dish comes with a side (chips were pictured), and while taking our order our server asked \""""Chips or fries?\"""", at the end we had an extra charge for choosing fries. I understand if there is a charge, but I believe servers should make you aware at the time you place your order. Something like... \""""It comes with chips, would you like fries for an additional charge?\""""\n\nUp until this, it would have been 3 stars, but...\n\n*I didn't think the seats were that comfortable... they didn't seem to recline and the angle was kind of weird.\n\n* Honestly, I thought the place was nasty. The small tables have some metal pieces and are not flat, obviously this makes them tricky to clean but that is not an excuse. They had marks of being poorly wiped, there were crumbs on my area, even garbage and a cherry stem in my cup holder... \n\n* Over 30 minutes - Over 30 minutes it took for my husband to get a refill for his drink...\n\n* And, my pet peeve... pop corn bags were not full, they were about or more than an inch below the edge or the bag. Argggghhh...\n\n* This must have been a very nice and impressive experience when everything was brand new... not now, not for us.\n\nDisclaimer - I attended a free screening here, so I did not really get the 'full price paying customer' experience, however, I think that should not make a difference. OR even worse, I would be even more disappointed if I had to pay admission on top of what we spent.\n\nOn the bright side, this area is very nice to go for a walk after your movie, if you go on the evenings : )",0
"I have been to this office a couple of times and was holding off on writing a review just so that I could give an accurate review of my experience. \n\nOn my first prenatal visit I felt like I was literally dying! I had lost 10lbs and could not keep any fluids or food down. I was seen by Ingrid, and My husband and I  just wanted to take her home with us. She's so positive, explained everything thoroughly and with an amazing attitude. We were able to listen to our babies heartbeat and take some ultrasound images home. As well as a prescription for dissolvable nausea pills that are STILL saving me till now. \n\nI'm now in my second trimester and stand by everything I have said after meeting our doctor, Dr.Oland! He truly is amazing he answers your questions as if he's never been asked before, which we all know he has a billion times. No question is too \""""dumb\"""" so it made me feel very comfortable. \n\nAnd of course like mentioned before the front staff isn't always the friendliest (only one individual) but the doctors and nurses even the Sonoran Quest lady are worth visiting this office. Keep up the good work!",1
4 out of 5 stars due to the physical logistics of the space alone. otherwise 5 stars. the food is always fresh & tasty. the bakery is delish! if it wasn't such a frustrating & cramped place to get a table and eat at - it would be perfect.,1
"We went on a Saturday afternoon, the decor was inviting. The staff wasn't  as friendly as some places we have been. However, they were not rude or anything. Just not overly friendly.The Rolls are good sized portions and the sauces are really yummy. Food overall was great!!!!!!",1
I decided to refinance my home. I was told that my documents would be emailed to me.  The email never arrived OfficeMax kept my documents for 2 days.   someone took the information from those documents and decided to write checks against my account now I'm dealing with identity theft.  I have never had issues with officemax and I have been going there for years but I must warn others please stay away.,0
You have to try the French toast.  They make it with challah bread! What more do you need to know?  \n\nThis place is light and airy.  Actually part of the dining room is outside which is perfect for Phoenix.  We were here a week ago Saturday and while the place was busy our waitress was attentive without hovering.  \n\nThe coffee is also very good but you do not get unlimited refills. (This is not the worst thing in the world but unlimited refills is kinds of standard for coffee.),1
Great for drinks after a long day of meetings and in the morning the breakfast  offers traditional morning fare with speedy service. \nO\nI recommend the duck confi eggs Benedict or the croque madam.,1
okay food either over seasoned or not seasoned enough,0
"The best gyros in town by far. A nice quiet place to get lunch and get caught up on some espn. If you like spicy stuff, try the gyro picado.",1
"Bad service! Waited over an hour and all we ordered desert. Ruined my friends bday! Had over ten people and they only brought out six plates. At first they didn't even bring plates. We was so hungry we started to eat food that we had in our bags and the manager swiftly ran out and yelled at us. But still no desert! No bueno, no plates, no desert and we still waiting for the check. Ordered the $93 treasure chest desert and it was mushy and not good. Would never come here again!!",0
"Important - this store in INSIDE THE HARRIS TEETER. \n\nConvenient if you are already a shopper, but parking is not always easy to find if you are just trying to get a quick coffee and be on your way.\n\nThey do have a lot of seating though, so if you plan to stay a while and work or read or something, they have a great patio area and a lot of inside seating as well.\n\nThe barista's in here are very nice. I only come here when I am already grabbing something from the market though.",1
"Not a big ramen fan, but I really liked this place - food, atmosphere, service and reasonable prices. A great find.",1
"FYI, get the pan roast at less mild to medium spice. I tried it very mild due to sharing it with a friend that doesn't care for spicy. But wow, the flavor was totally different. I'm definitely not going to knock down a star for that. I wish the lines weren't so long! I've stopped by 3-4 times now, and each time the wait looks to be 45+ minutes, so i had to pass :(\n\nBut i can't wait to eat it again!",1
"Once per year a group of friends and I hit this place up because the food is delish. \n\nThis year, king crab legs, shrimp, oysters,  and a phat Rib Eye was screaming my name.\n\nGoodness gracious I love this place! I will return for more red meat! \n\nCheers, \n\nBig O",1
"The head  baker here is a bad  mutha--shut yo mouth!!! \nI was referred here by an unnamed source who decided they'd had enough of me and my so called diet and boy was this a diet buster\nFirst off, the thing that impressed me out of nowhere was the tres leches. Usually buying tres leches from somewhere other than a Mexican bakery usually ends in a sugary wet disaster, but when they pulled it off, I knew we could be in business\n\nThe cream of the crop, at least to me were the mini pies. I always love eating pies by myself so making one smaller was only the next logical step, and I must say it almost brought a tear to my eye. Me and my food brother took bites out our pies and then gave each other that look that only a fellow secret food beast will understand. Needless to say those pies went off to the great bakery in the sky\nLong story short, get here, eat some pastries then walk out like a boss",1
Twice in the past year I have had a small business function catered by Nando's and I remain extremely impressed with their outstanding food and service.  DELICIOUS!!  Reasonably priced.  I will definitely order Nando's again for our next function.,1
"i have visited the restaurant on a couple occasions prior to my latest lunch dinning experience and the previous times were not memorable enough good or bad to express an opinion. However my latest experience i have felt compelled to share my thoughts. as we arrived on a saturday after visiting a friend in the area for her graduation party, the atmosphere was of an average weekend gathering with maybe a little bigger crowd than usual. The 3 people i was with ordered a wrap, an omelette, and my original burger medium. had a couple 2 dollar mimosas and began to wait for 1 hour and 30 minutes to be served. now maybe it had to do with the large amount of families or maybe this is a common expectation for a weekend lunch either way i felt this was too long. the kicker is when i received my dry well well done burger i laughed and asked the waiter if they could take it back and and just cancel my order.\nthe wator replied i would be glad to take it back and see if the cook can make you a new order medium done as he agreed this burger was well overcooked. I replied with the fact i am not willing to wait another hour but thanks for the offer. the only good that came out of this was that i am now reassured that my home cooking grass fed beef is not comparable to a restaurant broiler!",0
